Identifier,Covered?,Coverage
s4641_COG0088,True,2
s37033_COG0088,False,0
s23557_COG0088,True,2
s25723_COG0088,True,3
s25612_COG0088,True,2
s12418_COG0088,True,5
s37405_COG0088,True,1
s25151_COG0088,True,2
s12134_COG0088,True,3
s9041_COG0088,False,0
s5917_COG0088,True,2
s8351_COG0088,True,1
s1444_COG0088,True,3
s26108_COG0088,True,2
s13113_COG0088,True,2
s13501_COG0088,True,3
s36811_COG0088,True,4
s38668_COG0088,True,3
s758_COG0088,True,3
s16032_COG0088,True,2
s37658_COG0088,True,1
s28325_COG0088,True,1
s6668_COG0088,True,4
s9873_COG0088,True,1
s20462_COG0088,True,2
s11562_COG0088,True,6
s5648_COG0088,True,5
s6762_COG0088,True,4
s1315_COG0088,True,2
s11786_COG0088,True,10
s19618_COG0088,True,3
s38657_COG0088,True,1
s34816_COG0088,True,1
s5661_COG0088,True,5
s29458_COG0088,True,2
s27961_COG0088,True,3
s4479_COG0088,True,3
s10346_COG0088,True,2
s31498_COG0088,True,1
s39873_COG0088,True,2
s34006_COG0088,True,2
s15602_COG0088,True,2
s13915_COG0088,True,1
s39394_COG0088,True,4
s16577_COG0088,True,3
s8906_COG0088,True,4
s9236_COG0088,True,1
s38763_COG0088,True,1
s27483_COG0088,True,2
s31872_COG0088,True,1
s30756_COG0088,True,2
s30111_COG0088,True,2
s18911_COG0088,True,2
s14416_COG0088,True,3
s37864_COG0088,True,3
s122_COG0088,True,3
s10200_COG0088,False,0
s10812_COG0088,True,1
s8077_COG0088,True,3
s16456_COG0088,True,2
s39277_COG0088,True,2
s30041_COG0088,True,2
s6991_COG0088,True,3
s35876_COG0088,True,2
s1660_COG0088,True,3
s3237_COG0088,True,5
s40442_COG0088,True,3
s15947_COG0088,True,2
s24838_COG0088,True,2
s30597_COG0088,False,0
s32720_COG0088,True,3
s32349_COG0088,True,1
s10260_COG0088,True,3
s13929_COG0088,True,4
s34274_COG0088,False,0
s24492_COG0088,True,2
s707_COG0088,True,6
s13327_COG0088,True,2
s17932_COG0088,True,2
s26559_COG0088,True,2
s38442_COG0088,True,4
s34098_COG0088,False,0
s622_COG0088,True,1
s17233_COG0088,True,2
s15294_COG0088,False,0
s39163_COG0088,True,3
s39182_COG0088,False,0
s4090_COG0088,True,3
s9410_COG0088,True,2
s40615_COG0088,False,0
s5433_COG0088,False,0
s12881_COG0088,True,1
s36874_COG0088,True,1
s6996_COG0088,True,3
s31395_COG0088,True,6
s38353_COG0088,True,3
s33567_COG0088,True,1
s14050_COG0088,True,4
s38929_COG0088,True,6
s36358_COG0088,True,3
s31084_COG0088,True,1
s38931_COG0088,True,4
s27121_COG0088,True,1
s4301_COG0088,True,3
s21836_COG0088,True,3
s34464_COG0088,True,2
s31283_COG0088,True,3
s2426_COG0088,True,5
s17708_COG0088,True,2
s38069_COG0088,True,2
s15575_COG0088,True,2
s34468_COG0088,True,2
s5373_COG0088,False,0
s21734_COG0088,True,3
s31204_COG0088,True,2
s19745_COG0088,True,3
s23831_COG0088,False,0
s18153_COG0088,True,2
s37862_COG0088,True,1
s26673_COG0088,True,3
s5127_COG0088,True,3
s4223_COG0088,True,1
s35034_COG0088,True,3
s25452_COG0088,True,2
s11463_COG0088,True,1
s12043_COG0088,True,2
s13107_COG0088,True,2
s4452_COG0088,True,3
s40899_COG0088,False,0
s6201_COG0088,True,3
s35763_COG0088,True,5
s868_COG0088,True,3
s17193_COG0088,True,2
s25242_COG0088,False,0
s27810_COG0088,True,5
s12682_COG0088,True,2
s7579_COG0088,False,0
s26263_COG0088,True,2
s6128_COG0088,True,3
s1533_COG0088,True,3
s7710_COG0088,True,2
s13093_COG0088,True,1
s10468_COG0088,True,1
s12453_COG0088,True,2
s9098_COG0088,False,0
s34638_COG0088,False,0
s705_COG0088,True,5
s11282_COG0088,True,2
s12984_COG0088,True,1
s14982_COG0088,True,4
s26338_COG0088,False,0
s31713_COG0088,True,1
s36316_COG0088,True,1
s20486_COG0088,True,2
s28683_COG0088,True,1
s37119_COG0088,True,1
s14021_COG0088,True,4
s7690_COG0088,True,1
s9550_COG0088,True,3
s25260_COG0088,True,1
s11412_COG0088,True,2
s20911_COG0088,False,0
s6345_COG0088,True,3
s19145_COG0088,True,1
s37924_COG0088,True,5
s18402_COG0088,True,2
s36767_COG0088,True,1
s23923_COG0088,False,0
s11572_COG0088,True,2
s28610_COG0088,True,2
s22384_COG0088,True,3
s27571_COG0088,True,2
s28057_COG0088,True,1
s30535_COG0088,True,1
s6925_COG0088,True,2
s27637_COG0088,True,7
s24141_COG0088,True,1
s1810_COG0088,False,0
s30174_COG0088,True,1
s20390_COG0088,True,2
s17640_COG0088,True,2
s9936_COG0088,False,0
s28083_COG0088,True,2
s16997_COG0088,True,3
s29066_COG0088,True,2
s7626_COG0088,True,1
s11708_COG0088,True,10
s22628_COG0088,True,2
s19078_COG0088,True,2
s29733_COG0088,True,2
s23684_COG0088,True,4
s30275_COG0088,True,2
s36056_COG0088,True,1
s23694_COG0088,True,1
s28061_COG0088,True,1
s28144_COG0088,True,1
s17004_COG0088,True,3
s8483_COG0088,True,3
s30409_COG0088,True,3
s30958_COG0088,True,3
s5711_COG0088,True,2
s40411_COG0088,True,2
s14399_COG0088,True,3
s39620_COG0088,False,0
s27036_COG0088,True,3
s27669_COG0088,True,3
s128_COG0088,True,3
s19230_COG0088,True,2
s10960_COG0088,True,2
s14995_COG0088,True,1
s32513_COG0088,True,1
s25135_COG0088,True,3
s21781_COG0088,True,3
s5510_COG0088,True,2
s10559_COG0088,True,2
s32616_COG0088,True,2
s37213_COG0088,False,0
s18416_COG0088,True,2
s30721_COG0088,True,1
s35696_COG0088,True,1
s27187_COG0088,True,1
s26298_COG0088,True,2
s28288_COG0088,True,4
s26800_COG0088,True,3
s11489_COG0088,False,0
s25863_COG0088,True,4
s30225_COG0088,True,1
s12304_COG0088,True,1
s3230_COG0088,True,2
s10000_COG0088,True,3
s20941_COG0088,True,2
s15886_COG0088,True,2
s29413_COG0088,True,1
s27060_COG0088,True,1
s3979_COG0088,True,4
s28346_COG0088,False,0
s5272_COG0088,False,0
s17093_COG0088,True,2
s33259_COG0088,True,2
s23247_COG0088,True,2
s22093_COG0088,True,3
s40046_COG0088,True,2
s19389_COG0088,True,2
s556_COG0088,True,2
s22396_COG0088,True,3
s11974_COG0088,True,3
s836_COG0088,True,2
s19858_COG0088,True,3
