Identifier,Covered?,Coverage
s34458_COG0088,True,5
s1365_COG0088,True,4
s12418_COG0088,True,5
s30853_COG0088,True,4
s38636_COG0088,True,2
s14254_COG0088,True,3
s19599_COG0088,True,8
s17631_COG0088,True,5
s36022_COG0088,True,2
s25012_COG0088,True,2
s8901_COG0088,False,0
s8197_COG0088,True,2
s4294_COG0088,True,5
s14225_COG0088,True,3
s4741_COG0088,True,2
s32283_COG0088,True,2
s13501_COG0088,True,5
s36811_COG0088,True,4
s5044_COG0088,True,1
s13958_COG0088,True,2
s25205_COG0088,True,4
s39051_COG0088,True,3
s26346_COG0088,True,1
s4214_COG0088,True,1
s24623_COG0088,True,2
s40167_COG0088,True,4
s18798_COG0088,True,8
s18957_COG0088,True,8
s10518_COG0088,True,3
s32252_COG0088,True,6
s28635_COG0088,True,5
s7519_COG0088,True,4
s37547_COG0088,True,2
s1315_COG0088,True,4
s40541_COG0088,True,1
s23975_COG0088,True,4
s21830_COG0088,True,5
s20467_COG0088,True,8
s5685_COG0088,True,5
s9453_COG0088,True,5
s15058_COG0088,True,5
s7011_COG0088,False,0
s14946_COG0088,True,4
s19338_COG0088,True,8
s33225_COG0088,True,1
s21014_COG0088,True,5
s11471_COG0088,True,3
s16739_COG0088,True,3
s40073_COG0088,True,2
s23899_COG0088,True,4
s39040_COG0088,True,2
s19491_COG0088,True,8
s23320_COG0088,True,6
s3807_COG0088,True,4
s11065_COG0088,True,4
s10399_COG0088,True,6
s11634_COG0088,True,4
s25582_COG0088,True,3
s10200_COG0088,False,0
s31733_COG0088,True,4
s13208_COG0088,True,2
s6071_COG0088,True,3
s31058_COG0088,True,4
s19809_COG0088,True,5
s18305_COG0088,True,8
s1660_COG0088,True,2
s3237_COG0088,True,6
s24377_COG0088,True,1
s17346_COG0088,True,8
s13071_COG0088,True,1
s24838_COG0088,True,4
s30597_COG0088,True,2
s20438_COG0088,True,8
s10260_COG0088,True,5
s24190_COG0088,True,2
s27747_COG0088,False,0
s27325_COG0088,False,0
s24492_COG0088,True,4
s31413_COG0088,True,2
s13327_COG0088,True,6
s30775_COG0088,True,4
s30430_COG0088,True,5
s12537_COG0088,True,5
s557_COG0088,True,3
s10825_COG0088,True,5
s15525_COG0088,True,8
s37148_COG0088,False,0
s21576_COG0088,True,5
s14167_COG0088,True,3
s6964_COG0088,True,1
s6996_COG0088,True,5
s9512_COG0088,True,3
s5201_COG0088,True,3
s20929_COG0088,True,8
s38421_COG0088,True,4
s13251_COG0088,True,1
s35442_COG0088,False,0
s14050_COG0088,True,3
s25853_COG0088,True,2
s31084_COG0088,True,3
s38931_COG0088,True,3
s13333_COG0088,True,5
s38660_COG0088,True,4
s24995_COG0088,True,2
s1451_COG0088,True,5
s28718_COG0088,True,1
s14365_COG0088,True,5
s27998_COG0088,True,2
s8680_COG0088,True,4
s14631_COG0088,True,2
s31283_COG0088,True,2
s11268_COG0088,True,6
s26702_COG0088,True,4
s39730_COG0088,True,1
s30302_COG0088,True,4
s26474_COG0088,True,1
s21734_COG0088,True,5
s19397_COG0088,True,8
s1806_COG0088,True,3
s33450_COG0088,True,3
s26259_COG0088,True,2
s24542_COG0088,True,2
s31285_COG0088,True,2
s20223_COG0088,True,8
s12674_COG0088,True,4
s19263_COG0088,True,8
s22955_COG0088,True,3
s5127_COG0088,True,1
s11463_COG0088,True,1
s27526_COG0088,False,0
s4974_COG0088,True,3
s37695_COG0088,True,4
s34691_COG0088,True,4
s2245_COG0088,True,4
s40899_COG0088,True,1
s6837_COG0088,True,5
s35763_COG0088,True,4
s37745_COG0088,True,2
s27896_COG0088,True,2
s39094_COG0088,True,2
s31255_COG0088,False,0
s23772_COG0088,True,4
s10179_COG0088,True,3
s34185_COG0088,True,4
s24551_COG0088,True,8
s25625_COG0088,True,5
s15750_COG0088,True,8
s18111_COG0088,False,0
s10468_COG0088,True,3
s12453_COG0088,True,4
s9098_COG0088,True,1
s28686_COG0088,True,5
s28797_COG0088,True,4
s9544_COG0088,True,2
s26694_COG0088,True,1
s3472_COG0088,True,8
s26338_COG0088,True,1
s40242_COG0088,True,2
s5197_COG0088,True,4
s39888_COG0088,False,0
s10284_COG0088,True,1
s33342_COG0088,True,4
s28683_COG0088,True,1
s20643_COG0088,True,5
s532_COG0088,True,1
s32346_COG0088,True,1
s9916_COG0088,True,3
s11412_COG0088,True,4
s21397_COG0088,True,3
s7770_COG0088,True,3
s29319_COG0088,True,1
s37924_COG0088,True,4
s8945_COG0088,True,2
s17588_COG0088,True,5
s14229_COG0088,True,3
s23301_COG0088,True,1
s27637_COG0088,True,5
s38041_COG0088,True,3
s10098_COG0088,True,3
s30489_COG0088,True,5
s32966_COG0088,True,5
s21964_COG0088,True,5
s36768_COG0088,True,4
s26452_COG0088,True,2
s37011_COG0088,True,4
s35688_COG0088,True,3
s22628_COG0088,True,1
s13014_COG0088,True,4
s31347_COG0088,True,4
s29499_COG0088,True,5
s12884_COG0088,True,1
s11734_COG0088,True,5
s15758_COG0088,True,8
s32773_COG0088,True,3
s13759_COG0088,True,3
s2454_COG0088,True,5
s4958_COG0088,True,8
s6990_COG0088,True,5
s40866_COG0088,True,3
s30015_COG0088,True,2
s31321_COG0088,True,2
s17337_COG0088,True,8
s18967_COG0088,True,8
s9056_COG0088,True,2
s20949_COG0088,True,4
s128_COG0088,True,5
s33049_COG0088,True,1
s16831_COG0088,True,5
s14995_COG0088,True,2
s40139_COG0088,True,5
s24796_COG0088,True,4
s27000_COG0088,True,3
s17870_COG0088,True,8
s31545_COG0088,True,4
s10559_COG0088,True,3
s10776_COG0088,True,4
s29325_COG0088,True,3
s37540_COG0088,True,3
s30721_COG0088,True,2
s6743_COG0088,True,3
s10849_COG0088,True,2
s36810_COG0088,True,3
s11489_COG0088,True,1
s33820_COG0088,True,1
s32580_COG0088,True,3
s22461_COG0088,True,5
s12915_COG0088,True,2
s20941_COG0088,True,4
s10729_COG0088,True,5
s18948_COG0088,True,8
s22473_COG0088,True,5
s3139_COG0088,True,4
s8600_COG0088,True,4
s29413_COG0088,True,1
s17700_COG0088,True,8
s25206_COG0088,True,6
s32033_COG0088,True,5
s36744_COG0088,True,2
s18386_COG0088,True,8
s28610_COG0088,True,5
s2475_COG0088,True,5
s2241_COG0088,True,3
s39157_COG0088,True,3
s32571_COG0088,True,2
s33351_COG0088,True,6
s38425_COG0088,True,2
s32597_COG0088,True,4
s32272_COG0088,True,2
s17771_COG0088,True,8
s36706_COG0088,True,4
s22238_COG0088,True,5
s10493_COG0088,True,3
s17813_COG0088,True,8
s8930_COG0088,True,1
s7382_COG0088,False,0
s33829_COG0088,True,5
s158_COG0088,True,5
s9381_COG0088,True,4
s1636_COG0088,True,8
s14285_COG0088,True,5
s32332_COG0088,True,3
s38512_COG0088,True,2
s13433_COG0088,True,5
s16818_COG0088,True,5
s17159_COG0088,True,8
s8548_COG0088,True,2
s14901_COG0088,True,1
s14595_COG0088,True,2
s15542_COG0088,True,8
s3210_COG0088,True,8
s11886_COG0088,True,3
s5724_COG0088,True,2
s2012_COG0088,True,3
s29867_COG0088,True,4
s11178_COG0088,True,5
s10387_COG0088,True,4
s31633_COG0088,True,4
s19170_COG0088,True,4
s23538_COG0088,True,2
s38012_COG0088,True,4
s13971_COG0088,True,3
s15526_COG0088,True,8
s38711_COG0088,True,2
s28432_COG0088,True,2
s38559_COG0088,True,3
s33179_COG0088,True,5
s4326_COG0088,True,4
s26311_COG0088,False,0
s8545_COG0088,True,2
s40783_COG0088,False,0
s2312_COG0088,True,4
s15712_COG0088,True,8
s13010_COG0088,True,5
s4160_COG0088,True,5
s1555_COG0088,True,5
s38603_COG0088,True,3
s31981_COG0088,True,1
s7170_COG0088,True,1
s8674_COG0088,True,5
s2981_COG0088,True,4
s14111_COG0088,True,3
s13653_COG0088,True,5
s9345_COG0088,True,3
s34998_COG0088,True,4
s20102_COG0088,True,8
s21742_COG0088,True,5
s24504_COG0088,True,2
s32775_COG0088,True,4
s23154_COG0088,True,3
s6209_COG0088,True,5
s3612_COG0088,True,4
s33156_COG0088,True,2
s19576_COG0088,True,8
s17698_COG0088,True,8
s21645_COG0088,True,5
s12710_COG0088,True,4
s32771_COG0088,False,0
s35254_COG0088,True,2
s38842_COG0088,True,1
s14118_COG0088,True,3
s4520_COG0088,False,0
s19360_COG0088,True,8
s7980_COG0088,True,3
s29391_COG0088,False,0
s18734_COG0088,True,8
s2603_COG0088,True,5
s23706_COG0088,True,2
s33771_COG0088,True,3
s15869_COG0088,True,8
s32435_COG0088,True,4
s17237_COG0088,True,8
s59_COG0088,True,2
s26646_COG0088,True,2
s14535_COG0088,True,4
s31994_COG0088,True,3
s29463_COG0088,True,4
s13578_COG0088,True,2
s14627_COG0088,True,2
s36080_COG0088,True,3
s40820_COG0088,True,1
s20578_COG0088,True,8
s20260_COG0088,True,8
s33805_COG0088,True,5
s32097_COG0088,True,1
s35201_COG0088,True,4
s29552_COG0088,True,4
s8688_COG0088,True,2
s34456_COG0088,True,4
s37633_COG0088,True,3
s31449_COG0088,True,4
s31286_COG0088,True,3
s39767_COG0088,True,3
s4240_COG0088,True,3
s17340_COG0088,True,8
s15413_COG0088,True,8
s10960_COG0088,True,4
s36899_COG0088,True,2
s18329_COG0088,True,8
s16469_COG0088,True,4
s18109_COG0088,False,0
s24272_COG0088,True,3
s12730_COG0088,True,4
s39133_COG0088,True,2
s13515_COG0088,True,1
s23441_COG0088,True,3
s11472_COG0088,True,3
s40809_COG0088,True,1
s29976_COG0088,True,4
s26288_COG0088,False,0
s13482_COG0088,True,5
s39064_COG0088,True,2
s8747_COG0088,True,2
s6137_COG0088,True,5
s24647_COG0088,True,3
s18667_COG0088,True,8
s27495_COG0088,True,2
s18031_COG0088,True,8
s28927_COG0088,True,1
s27200_COG0088,True,1
s24654_COG0088,False,0
s18048_COG0088,True,8
s38366_COG0088,True,2
s34835_COG0088,True,5
s32784_COG0088,True,2
s1665_COG0088,True,2
s15102_COG0088,True,5
s26751_COG0088,True,3
s16833_COG0088,True,5
s13472_COG0088,True,5
s40206_COG0088,True,1
s7058_COG0088,True,3
s35021_COG0088,True,5
s28878_COG0088,True,2
s17757_COG0088,True,8
s3907_COG0088,True,5
s21629_COG0088,True,5
s34138_COG0088,True,1
s39438_COG0088,True,2
s288_COG0088,True,4
s21326_COG0088,True,3
s11931_COG0088,True,3
s18577_COG0088,True,4
s33837_COG0088,True,3
s5509_COG0088,True,3
s28656_COG0088,True,4
s38704_COG0088,True,5
s621_COG0088,True,2
s16606_COG0088,True,5
s38589_COG0088,True,4
s16053_COG0088,True,8
s22271_COG0088,True,5
s21064_COG0088,True,4
s16546_COG0088,True,5
s35592_COG0088,True,4
s18513_COG0088,True,4
s15605_COG0088,True,8
s14117_COG0088,True,3
s25907_COG0088,True,3
s32071_COG0088,True,4
s29307_COG0088,True,1
s11063_COG0088,True,4
s6687_COG0088,True,3
s17484_COG0088,True,3
s32054_COG0088,True,4
s14205_COG0088,True,3
s29147_COG0088,True,3
s19310_COG0088,True,8
s1609_COG0088,True,5
s1539_COG0088,True,5
s19955_COG0088,True,8
s28611_COG0088,True,5
s2942_COG0088,True,1
s40435_COG0088,True,2
s26670_COG0088,True,4
s18024_COG0088,True,8
s35831_COG0088,True,1
s20000_COG0088,True,8
s14719_COG0088,True,5
s26355_COG0088,True,1
s13330_COG0088,True,2
s8014_COG0088,True,5
s20212_COG0088,True,8
s11368_COG0088,True,3
s21357_COG0088,True,3
s10491_COG0088,True,3
s28322_COG0088,True,6
s17103_COG0088,True,8
s29617_COG0088,True,3
s31597_COG0088,True,3
s13371_COG0088,True,5
s40508_COG0088,True,2
s16450_COG0088,True,4
s9641_COG0088,True,3
s30817_COG0088,True,2
s1914_COG0088,True,4
s26032_COG0088,True,5
s4740_COG0088,True,1
s38582_COG0088,True,2
s20405_COG0088,True,8
s13303_COG0088,True,5
s39182_COG0088,True,3
s9992_COG0088,True,5
s5849_COG0088,True,2
s29511_COG0088,True,2
s31798_COG0088,True,3
s11221_COG0088,True,8
s37605_COG0088,True,2
s18394_COG0088,True,8
s11856_COG0088,True,1
s15641_COG0088,True,8
s37983_COG0088,True,4
s13885_COG0088,True,3
s13638_COG0088,True,5
s25147_COG0088,True,4
s8587_COG0088,True,3
s24067_COG0088,True,1
s24641_COG0088,True,3
s24696_COG0088,True,2
s18535_COG0088,True,4
s13529_COG0088,True,2
s6935_COG0088,True,5
s1858_COG0088,True,2
s19833_COG0088,True,5
s5582_COG0088,True,3
s32210_COG0088,True,4
s19109_COG0088,True,8
s24581_COG0088,True,2
s408_COG0088,True,3
s3247_COG0088,True,6
s17416_COG0088,True,5
s16860_COG0088,True,5
s2766_COG0088,True,5
s31808_COG0088,True,3
s3547_COG0088,True,5
s19460_COG0088,True,8
s21613_COG0088,True,5
s214_COG0088,True,5
s27425_COG0088,True,4
s35259_COG0088,False,0
s20590_COG0088,True,5
s15548_COG0088,True,8
s32336_COG0088,True,2
s35687_COG0088,True,1
s24706_COG0088,True,4
s8668_COG0088,True,4
s21120_COG0088,True,5
s40790_COG0088,False,0
s25843_COG0088,True,1
s18160_COG0088,True,8
s9292_COG0088,True,3
s39564_COG0088,False,0
s33126_COG0088,True,4
s4786_COG0088,True,5
s25873_COG0088,True,2
s15725_COG0088,True,8
s29228_COG0088,True,3
s8625_COG0088,True,2
s5604_COG0088,True,5
s17692_COG0088,True,8
s14783_COG0088,True,1
s21596_COG0088,True,5
s35455_COG0088,False,0
s3031_COG0088,True,4
s39473_COG0088,True,5
s33513_COG0088,True,1
s24536_COG0088,True,3
s27360_COG0088,True,2
s36035_COG0088,True,4
s24317_COG0088,True,2
s36016_COG0088,True,3
s20300_COG0088,True,8
s35613_COG0088,True,3
s40854_COG0088,False,0
s16699_COG0088,True,8
s26802_COG0088,True,3
s8152_COG0088,True,2
s10065_COG0088,True,2
s34300_COG0088,True,4
s18677_COG0088,True,8
s31251_COG0088,True,4
s29064_COG0088,True,4
s27321_COG0088,True,5
s5022_COG0088,True,3
s23072_COG0088,True,2
s18272_COG0088,True,8
s17528_COG0088,True,1
s33344_COG0088,True,1
s25069_COG0088,True,3
s28778_COG0088,True,5
s37720_COG0088,True,4
s27094_COG0088,True,4
s20084_COG0088,True,8
s32509_COG0088,True,3
s2286_COG0088,True,5
s9731_COG0088,True,2
s3928_COG0088,True,4
s6853_COG0088,True,2
s24274_COG0088,True,3
s2601_COG0088,True,1
s3582_COG0088,True,8
s13826_COG0088,True,3
s28922_COG0088,True,1
s25655_COG0088,True,4
s28919_COG0088,True,3
s14919_COG0088,True,1
s40076_COG0088,True,1
s23648_COG0088,True,5
s14885_COG0088,True,1
s9406_COG0088,True,3
s40292_COG0088,True,4
