Identifier,Covered?,Coverage
s22250_COG0088,True,3
s20852_COG0088,True,3
s27658_COG0088,True,3
s40062_COG0088,True,1
s31838_COG0088,True,1
s11786_COG0088,True,5
s35121_COG0088,True,2
s9633_COG0088,True,6
s32292_COG0088,True,4
s2916_COG0088,True,3
s2016_COG0088,True,3
s13571_COG0088,True,4
s8657_COG0088,True,2
s5935_COG0088,False,0
s28150_COG0088,True,2
s1444_COG0088,True,6
s98_COG0088,False,0
s10313_COG0088,True,2
s32283_COG0088,True,1
s26428_COG0088,True,4
s9177_COG0088,True,2
s3545_COG0088,True,4
s36811_COG0088,True,2
s17662_COG0088,True,7
s13958_COG0088,True,3
s9679_COG0088,True,1
s28325_COG0088,True,3
s39051_COG0088,True,4
s25453_COG0088,True,6
s18957_COG0088,True,7
s34284_COG0088,True,3
s28635_COG0088,True,7
s7519_COG0088,True,5
s3218_COG0088,True,7
s12057_COG0088,True,2
s3331_COG0088,True,4
s8321_COG0088,True,1
s10467_COG0088,True,4
s31492_COG0088,True,1
s25311_COG0088,True,1
s23166_COG0088,True,6
s9453_COG0088,True,6
s23348_COG0088,True,5
s21429_COG0088,True,6
s16257_COG0088,False,0
s16163_COG0088,True,3
s12283_COG0088,True,3
s24102_COG0088,True,1
s716_COG0088,True,6
s39394_COG0088,True,4
s38636_COG0088,True,3
s31677_COG0088,True,2
s3597_COG0088,True,7
s1616_COG0088,True,6
s27761_COG0088,True,2
s14352_COG0088,True,3
s9611_COG0088,False,0
s32418_COG0088,True,3
s16777_COG0088,True,1
s5348_COG0088,True,2
s30041_COG0088,True,2
s20331_COG0088,True,7
s33056_COG0088,True,2
s34421_COG0088,True,1
s36414_COG0088,True,2
s15072_COG0088,True,3
s12775_COG0088,True,5
s3237_COG0088,True,5
s21307_COG0088,True,4
s24838_COG0088,True,3
s30597_COG0088,True,1
s6359_COG0088,True,6
s33500_COG0088,True,2
s190_COG0088,True,6
s27747_COG0088,False,0
s13929_COG0088,True,2
s28715_COG0088,True,7
s26905_COG0088,True,2
s15831_COG0088,True,7
s20692_COG0088,True,3
s2605_COG0088,True,1
s28702_COG0088,True,4
s30775_COG0088,True,5
s2421_COG0088,True,6
s21452_COG0088,True,4
s23787_COG0088,True,1
s131_COG0088,True,6
s7362_COG0088,True,3
s12881_COG0088,True,1
s37465_COG0088,True,2
s28876_COG0088,True,2
s35346_COG0088,True,2
s38353_COG0088,True,4
s30576_COG0088,True,2
s39443_COG0088,True,2
s25853_COG0088,True,3
s39071_COG0088,True,3
s8792_COG0088,True,3
s18517_COG0088,True,5
s4301_COG0088,True,6
s7053_COG0088,False,0
s14365_COG0088,True,3
s3278_COG0088,True,5
s10101_COG0088,True,6
s27998_COG0088,True,4
s8680_COG0088,True,6
s25942_COG0088,True,2
s14296_COG0088,False,0
s1446_COG0088,True,6
s2426_COG0088,True,5
s841_COG0088,True,2
s10095_COG0088,True,6
s27969_COG0088,True,2
s24683_COG0088,True,4
s20499_COG0088,True,7
s2347_COG0088,True,5
s37331_COG0088,True,2
s301_COG0088,True,4
s33450_COG0088,True,2
s20223_COG0088,True,7
s18153_COG0088,True,7
s37862_COG0088,True,2
s11015_COG0088,True,1
s12589_COG0088,True,6
s22690_COG0088,True,6
s12674_COG0088,True,5
s22148_COG0088,True,3
s14027_COG0088,True,2
s5127_COG0088,True,3
s417_COG0088,True,5
s33920_COG0088,True,1
s13107_COG0088,True,4
s2245_COG0088,True,3
s781_COG0088,True,1
s11867_COG0088,True,2
s38117_COG0088,True,1
s3497_COG0088,True,5
s13036_COG0088,True,2
s6201_COG0088,True,6
s18750_COG0088,True,7
s13451_COG0088,True,6
s13290_COG0088,True,6
s33301_COG0088,True,2
s19341_COG0088,True,7
