Identifier,Covered?,Coverage
s5674_COG0088,True,4
s18560_COG0088,True,5
s8016_COG0088,True,2
s22065_COG0088,True,4
s27658_COG0088,True,3
s1365_COG0088,True,3
s37405_COG0088,True,2
s747_COG0088,True,2
s25911_COG0088,True,4
s35168_COG0088,True,2
s40069_COG0088,True,2
s19599_COG0088,True,3
s25012_COG0088,True,3
s947_COG0088,True,1
s1444_COG0088,True,6
s14225_COG0088,True,2
s6629_COG0088,True,2
s13501_COG0088,True,6
s27596_COG0088,True,3
s40873_COG0088,True,3
s29751_COG0088,False,0
s5044_COG0088,True,1
s35719_COG0088,True,2
s24367_COG0088,True,4
s17270_COG0088,True,1
s12861_COG0088,True,6
s14021_COG0088,True,2
s39051_COG0088,True,2
s26346_COG0088,False,0
s17372_COG0088,True,3
s19_COG0088,True,4
s31915_COG0088,True,4
s13730_COG0088,True,1
s28635_COG0088,True,2
s7519_COG0088,True,2
s19444_COG0088,True,3
s14101_COG0088,True,2
s21226_COG0088,True,4
s6378_COG0088,True,3
s5264_COG0088,True,2
s28375_COG0088,True,3
s26619_COG0088,True,2
s9225_COG0088,True,1
s2812_COG0088,True,6
s29458_COG0088,True,3
s20467_COG0088,True,3
s15058_COG0088,True,4
s30729_COG0088,True,5
s32353_COG0088,True,3
s21014_COG0088,True,6
s716_COG0088,True,4
s38661_COG0088,True,3
s13915_COG0088,True,2
s39394_COG0088,True,3
s38314_COG0088,True,2
s33789_COG0088,True,2
s9236_COG0088,True,4
s23603_COG0088,True,5
s12960_COG0088,True,1
s9583_COG0088,True,2
s9470_COG0088,True,1
s11065_COG0088,True,3
s18911_COG0088,True,3
s14352_COG0088,True,4
s37631_COG0088,True,4
s8595_COG0088,False,0
s8747_COG0088,True,1
s35229_COG0088,True,2
s29017_COG0088,True,4
s19121_COG0088,True,3
s39277_COG0088,True,3
s25459_COG0088,True,4
s17759_COG0088,True,3
s20105_COG0088,True,3
s16572_COG0088,True,4
s19809_COG0088,True,4
s14457_COG0088,True,5
s17346_COG0088,True,3
s13071_COG0088,True,1
s36585_COG0088,True,4
s7350_COG0088,True,2
s21921_COG0088,True,6
s8908_COG0088,True,5
s10260_COG0088,True,3
s13245_COG0088,True,3
s26905_COG0088,True,3
s3364_COG0088,True,2
s14418_COG0088,True,4
s20692_COG0088,True,4
s18654_COG0088,True,3
s38442_COG0088,True,3
s504_COG0088,True,1
s10825_COG0088,True,4
s33126_COG0088,True,3
s10187_COG0088,True,1
s12613_COG0088,True,6
s13407_COG0088,True,6
s5433_COG0088,True,2
s39777_COG0088,True,5
s3907_COG0088,True,4
s5201_COG0088,True,2
s20929_COG0088,True,3
s35442_COG0088,False,0
s3464_COG0088,True,3
s28223_COG0088,True,3
s16811_COG0088,True,4
s11561_COG0088,True,3
s25054_COG0088,True,4
s7066_COG0088,True,5
s34897_COG0088,True,4
s21836_COG0088,True,6
s12929_COG0088,True,2
s36352_COG0088,True,1
s26845_COG0088,True,3
s841_COG0088,False,0
s11268_COG0088,True,3
s28486_COG0088,True,3
s34468_COG0088,True,2
s15118_COG0088,True,3
s5373_COG0088,False,0
s4195_COG0088,True,2
s1806_COG0088,True,1
s301_COG0088,True,3
s24542_COG0088,True,1
s2052_COG0088,True,2
s18153_COG0088,True,3
s12589_COG0088,True,6
s33239_COG0088,True,2
s21250_COG0088,True,4
s32488_COG0088,True,1
s34889_COG0088,True,1
s19257_COG0088,True,3
s34691_COG0088,True,5
s556_COG0088,True,2
s23645_COG0088,True,1
s6837_COG0088,True,6
s30763_COG0088,True,5
s13805_COG0088,True,2
s30651_COG0088,True,1
s6363_COG0088,True,2
s11252_COG0088,True,2
s27810_COG0088,True,5
s23772_COG0088,True,3
s32221_COG0088,True,2
s18146_COG0088,True,3
s1179_COG0088,True,1
s21491_COG0088,True,3
s7579_COG0088,False,0
s26322_COG0088,True,2
s9710_COG0088,False,0
s2871_COG0088,True,6
s14494_COG0088,True,5
s14079_COG0088,True,2
s34638_COG0088,True,2
s6347_COG0088,True,6
s34778_COG0088,True,5
s28686_COG0088,True,2
s17215_COG0088,True,3
s31713_COG0088,True,2
s4806_COG0088,True,2
s29900_COG0088,True,3
s29840_COG0088,True,2
s2681_COG0088,True,1
s20486_COG0088,True,3
s1725_COG0088,True,5
s10381_COG0088,True,6
s32590_COG0088,True,4
s28340_COG0088,True,3
s9916_COG0088,True,5
s16587_COG0088,True,4
s21397_COG0088,True,3
s14811_COG0088,True,4
s20764_COG0088,True,4
s29333_COG0088,True,2
s25453_COG0088,True,5
s22743_COG0088,True,4
s26697_COG0088,True,3
s7750_COG0088,True,2
s9560_COG0088,True,2
s16252_COG0088,True,2
s28700_COG0088,True,2
s27571_COG0088,True,3
s27637_COG0088,True,3
s34655_COG0088,True,3
s21300_COG0088,True,3
s21964_COG0088,True,6
s9058_COG0088,True,2
s5834_COG0088,True,4
s29959_COG0088,True,3
s11708_COG0088,True,3
s2912_COG0088,True,6
s20037_COG0088,True,3
s23684_COG0088,True,2
s33016_COG0088,True,1
s4799_COG0088,True,1
s41017_COG0088,True,2
s5142_COG0088,True,5
s36609_COG0088,True,3
s25804_COG0088,True,1
s22764_COG0088,True,1
s17004_COG0088,True,5
s32773_COG0088,True,2
s13759_COG0088,True,2
s4958_COG0088,True,3
s31059_COG0088,True,5
s9288_COG0088,True,2
s66_COG0088,True,2
s3160_COG0088,True,4
s2976_COG0088,True,2
s19230_COG0088,True,3
s23935_COG0088,True,2
s16831_COG0088,True,5
s14995_COG0088,True,2
s40139_COG0088,True,2
s32513_COG0088,True,4
s25135_COG0088,True,2
s27766_COG0088,True,1
s29146_COG0088,True,2
s31013_COG0088,True,5
s6402_COG0088,True,2
s24162_COG0088,True,4
s13693_COG0088,True,2
s18561_COG0088,True,5
s17389_COG0088,True,3
s30733_COG0088,True,4
s26298_COG0088,True,2
s15191_COG0088,True,5
s30802_COG0088,True,2
s28288_COG0088,True,5
s14389_COG0088,True,4
s27597_COG0088,True,2
s11489_COG0088,True,1
s33360_COG0088,True,2
s21663_COG0088,True,6
s24370_COG0088,True,3
s37645_COG0088,True,4
s23317_COG0088,True,3
s22652_COG0088,True,6
s20941_COG0088,True,5
s10729_COG0088,True,6
s19491_COG0088,True,3
s8600_COG0088,True,2
s17700_COG0088,True,3
s27060_COG0088,True,1
s19607_COG0088,True,3
s2475_COG0088,True,2
s2241_COG0088,True,2
s10682_COG0088,True,6
s10997_COG0088,True,3
s4717_COG0088,True,5
s8219_COG0088,True,2
s31582_COG0088,True,2
s32597_COG0088,True,3
s40046_COG0088,True,2
s24231_COG0088,True,2
s17771_COG0088,True,3
s19389_COG0088,True,3
s10241_COG0088,True,3
s8289_COG0088,True,2
s25090_COG0088,True,5
s7640_COG0088,False,0
s40125_COG0088,True,2
s12876_COG0088,True,5
s37971_COG0088,True,3
s35222_COG0088,True,2
s20266_COG0088,True,3
s30038_COG0088,True,3
s3151_COG0088,True,2
s35144_COG0088,True,1
s39611_COG0088,True,1
s21401_COG0088,True,3
s28168_COG0088,True,3
s33944_COG0088,True,1
s6307_COG0088,True,5
s13433_COG0088,True,6
s5407_COG0088,True,1
s16818_COG0088,True,5
s35886_COG0088,True,2
s34533_COG0088,True,1
s30080_COG0088,True,2
s22824_COG0088,True,4
s5718_COG0088,True,4
s14595_COG0088,True,3
s20595_COG0088,True,4
s19589_COG0088,True,3
s3131_COG0088,True,2
s13689_COG0088,True,4
s32650_COG0088,True,2
s14542_COG0088,True,4
s21564_COG0088,True,6
s9984_COG0088,True,2
s22575_COG0088,True,4
s32188_COG0088,True,3
s6598_COG0088,True,5
s37756_COG0088,True,1
s10387_COG0088,True,3
s14687_COG0088,True,6
s26746_COG0088,True,2
s9519_COG0088,True,2
s32882_COG0088,True,2
s25758_COG0088,True,2
s9104_COG0088,True,1
s28233_COG0088,True,4
s34696_COG0088,True,6
s12554_COG0088,True,5
s22948_COG0088,True,1
s14972_COG0088,True,4
s39873_COG0088,True,3
s30444_COG0088,True,4
s2312_COG0088,True,4
s28482_COG0088,True,4
s23469_COG0088,True,3
s19666_COG0088,True,3
s942_COG0088,True,6
s25489_COG0088,True,5
s38603_COG0088,True,3
s15543_COG0088,True,3
s32703_COG0088,True,2
s7170_COG0088,True,1
s34345_COG0088,True,1
s34578_COG0088,True,2
s17450_COG0088,True,3
